feature,score
date_loan_2,4200.44010045773
afterLoan,1930.7988139530034
loanUseTime,1573.5938502415106
afterLoanBill3,675.6474658503224
afterLoanBill4,545.2449587948284
heavyRatio,456.4931239431672
afterLoanBill5,419.64150858853753
time3,407.529889189174
afterLoanBill1,404.44882361936857
heavyRatio.1,386.88046677804476
time7,338.12913409069233
lighting,292.6634159363519
banksMoreThanFour,266.82883022976193
salaryFlag,252.2135966981591
x1_x4_1,246.12919399324156
x3_x4_2,243.93775172829487
x1mx2e,236.37124878791565
heavySum,229.07292867981582
time4,225.18637357410083
backRatio,224.45869935090806
x3_num,224.21092718280016
x1_x6_2,221.98880116024466
perOwingAfterLoaning,221.56700506332032
x2_x1_0,221.01776327147954
bill_beforeloan_time,220.1989532271803
bank_num,220.1701368043069
id_date_size,215.9244132588752
creditYearsShortest,215.4197980470331
beforeLoanBill5,212.63316023831405
creditYearsLongest,210.682249822164
creditYearsAverage,210.64934237889042
returnLeastRatio,208.1830073877135
x1_x2_mean,207.40412845306165
x2_max,206.92462684612588
x10_max,206.47128112286657
x4_1,206.1575358252823
x3_x4_1,205.96363368035443
x1_x4_0,205.4925738899709
date_maxmin1.1,205.36411667949665
x7_0,204.88136268842644
time6,204.5421874079224
x2ex3m,204.17332958438766
x4_x6_1,203.96897428487495
curOverdueMoneySum,203.9216244033439
x1_max,203.86675327858802
owingBankMax,203.76222255207443
x1_x6_1,203.53164015974716
x3_mean,203.33880898066317
x4_x6_2,203.12640303400994
date_loan_1,202.67342610313776
x4_max,202.37366160545
preBorrowZeroCount,202.24721983258547
beforeLoan,202.07747953237438
time9,201.55771933609321
x5_x6_2,201.27907238946057
beforeLoanBill4,201.20944700672993
beforeLoanBill1,200.83003615392627
totalBacking,200.57997617267276
x3_1,199.79065115602296
x5_max,199.72229538632237
beforeLoanBill2,198.95844937851533
heavingAddlighting,198.85675303418765
x3_maxmin,198.79714831697692
bank_id_10,198.71697482560342
time2,198.30619164126983
date_maxmin2,198.29328084081243
time8,198.2243382744357
x1_x4_2,198.08273527439522
x8ex9e,198.06782102834705
afterLoanBill2,197.65529932053286
withoutOweCount,197.47589673160343
x10_mean,197.41931224197378
x2_mean,197.4001722076724
bank_id_14,197.3774471967428
id_date_interval,197.17276836294005
x6_max,196.8846544612283
x4_min,196.6921747814288
consumeSumMoney,196.66757042493208
x1_x2_max,196.5982951011389
x1_x2_std,196.31628044213738
bank_id_8,196.28425583285778
x3_unique_mean,195.62672819630157
x5_mean,195.37314079101438
x3_maxmin_max,195.2112027318922
x6_mean,194.59908862937297
x3_max,194.57658775739955
x1ex3m,194.36975261986325
x4_mean,193.54535410213452
withoutOweRatio,193.49833412386494
x4_0,193.35765632493823
x8ex10m,193.32598661203323
curOverdueMoney,193.27025526393183
id_spend_sum,192.60231675939534
x1_x2_min,191.75750403218493
x2_x1_1,191.72787897620216
x8_0,191.43732997875688
x5_x6_1,191.40202643791346
x1_mean,191.25009593268967
totalOwing,191.14160824843736
perTermOwing,190.8532269028079
bank_id_4,190.81224947477767
bank_id_6,190.73837771203455
x9_0,190.65981837624662
owingBanks,190.50146888669144
totalBackSubOwe,190.41134523463015
id_size.1,189.99894914953518
consumeSumCount,189.65180623069162
returnLeastCount,189.39050154391438
billContPerBank,189.0244324306271
x1_x6_0,188.93739469805408
bank_id_11,188.6707948097391
consumePerCost,188.4002370907249
consumeAverage,188.38145074506156
x3mx10e,188.1370496741234
owingBanksRatio,187.36813702567542
bank_id_7,186.77872048362045
id_spend_mean,186.69698361825786
useableZeroCount,186.6878609731375
x8_mean,186.0282060688535
x3_maxmin_mean,185.980934080201
perBankOwing,185.8728855567235
x8_max,185.79951353559616
x4_x6_0,185.23706941297536
moreBack,185.08058059403382
owingPerMax,185.03647922593848
curOverdueCount,184.64327819146834
x3_0,183.49123665906203
bank_id_2,183.43254250363853
x4mx6e,182.22232187678938
drop_num_sum,181.15755625157686
time1,180.77620849827042
x6mx8e,179.3495574710707
time10,179.31931963992554
bank_id_16,178.60446489550495
x3_maxmin_sum,178.4599561883995
time5,176.4852213420762
id_spend_max,175.3840086650654
time0,174.9568101527778
useableZeroCountRatio,173.61948151984012
x9_mean,173.29395998600612
creditDescRatio,173.13896950956962
bank_id_3,172.66749172778677
cycleRateSum,172.18928204399046
x3_x4_0,171.69402057515103
x9_max,170.73773113781513
beforeLoanBill3,167.54516652955454
x5_x6_0,167.25152492380545
creditImproveFlag,166.99992193072916
bank_id_5,166.60719881311044
duplicate_num,165.0721829481403
creditDescCount,164.27621552994134
cycleRateCount,163.92721426776703
x7_max,158.64454915136284
creditToZero,158.53138382632397
x8_1,157.13208716431637
bank_id_15,152.84015267821866
withoutOwingBeforeLoan,152.32290666666665
x9_1,152.1749346587219
bank_id_13,151.7300795596257
x7_mean,150.70102183505145
bank_id_9,146.84550647079027
equalLoan,145.41025312909898
x4_2,144.4049688170873
heaving,142.0951035630233
x7_2,138.72505974523256
x7_1,133.82406990264602
date_loan_0,133.14999967914537
x9_2,77.85955672619049
bank_id_100,34.00208050555556
totalBackSubOweFlag,33.85247433333333
