feature,score
afterLoan,167.10627201190482
loanUseTime,31.67924314728681
afterLoanBill4,17.738060659090905
banksMoreThanFour,17.558355
afterLoanBill3,16.632159736842105
heavyRatio,15.843713705882344
heavyRatio.1,14.151591623529406
time3,13.36782453571429
time7,10.886672805327862
date_loan_2,9.412372104166664
x1mx2e,8.792451444444445
heavingAddlighting,8.095681357142858
id_date_size,7.954817405660382
x3_x4_2,7.80386225362319
x7_2,7.629130000000001
x7_0,7.571332208333334
owingBanks,7.452683777777778
x4_0,7.441618222222222
afterLoanBill5,7.280917881944443
creditYearsLongest,7.230303124223601
lighting,7.1306435499999985
x1_x4_1,7.105415391891892
afterLoanBill1,7.080834862318838
x3_num,7.0322964117647055
bank_id_8,6.868773085714286
salaryFlag,6.86649192982456
x1_x2_max,6.851802311475405
creditYearsShortest,6.851423953488374
bank_id_7,6.804986446808511
bill_beforeloan_time,6.7293011400437655
returnLeastRatio,6.6790967423580785
bank_id_11,6.678857659340655
x4_max,6.676815465631931
x8_max,6.650970768000001
beforeLoan,6.626335857142857
bank_id_6,6.6231352068965545
time9,6.619439903225808
x8ex9e,6.60791608219178
x5_x6_2,6.584293604651165
x3_x4_1,6.569934206106873
x8ex10m,6.569092929411761
x4_x6_1,6.553806018867925
beforeLoanBill4,6.541129585714284
x10_mean,6.540490383050847
x2_max,6.527168095774645
totalBacking,6.501921318471335
withoutOweRatio,6.45236930656934
x4_x6_2,6.430231654205608
bank_id_10,6.4260977228915666
x5_max,6.4186581201478745
x1_x6_2,6.410515459183674
x4_mean,6.405392575638505
date_maxmin1.1,6.40298442786069
x5_x6_1,6.3982337464788746
x1_x2_mean,6.395203098654706
heavySum,6.39323103174603
curOverdueMoney,6.386067726666668
x7_1,6.371050066666666
x3_mean,6.363991526610648
x8_0,6.356389923076923
afterLoanBill2,6.300896177215187
x1_x2_std,6.291919477611939
consumeAverage,6.242051375000002
x1_x4_0,6.238651500000001
id_date_interval,6.236207881619947
backRatio,6.2296353641304325
time10,6.222776694915258
beforeLoanBill2,6.211951855721389
x5_mean,6.211599267326729
time4,6.172476849056603
bank_id_16,6.1467442739726
preBorrowZeroCount,6.134687670886075
id_spend_mean,6.126701665158371
perBankOwing,6.110147678947367
owingBankMax,6.085602744186047
x4_1,6.084658545454546
perTermOwing,6.053758994791667
x3_max,6.048834004807698
x3_maxmin,6.047049299363054
x10_max,6.044725784090909
beforeLoanBill1,6.043896158536586
consumeSumMoney,6.0349352485207115
time6,6.026281379609549
moreBack,6.020867066037729
x3mx10e,5.993305358490567
x2ex3m,5.9868394597701124
totalOwing,5.958566429487179
id_spend_sum,5.935675648148149
date_maxmin2,5.927950525345624
x1_x4_2,5.927500069767444
bank_id_14,5.926800506666669
beforeLoanBill5,5.9212313260869625
x1_mean,5.915729489051094
x3_unique_mean,5.908375925081432
curOverdueMoneySum,5.903186698224852
curOverdueCount,5.898673950819672
x6mx8e,5.897924114754099
x3_maxmin_sum,5.884451761061943
x5_x6_0,5.883423787878788
x6_mean,5.842698112094397
creditYearsAverage,5.812460792626729
returnLeastCount,5.80295120338983
beforeLoanBill3,5.7795315
x4_2,5.739464333333334
date_loan_1,5.729833117647059
owingBanksRatio,5.709555020833332
id_spend_max,5.670734731707315
x9_max,5.6669314423076935
x1ex3m,5.652729802631581
x6_max,5.651424689655171
x4_min,5.641381613805969
x3_maxmin_max,5.632861328947369
time8,5.604464232558143
x2_x1_1,5.6035517872340455
x2_mean,5.597045634615387
bank_id_5,5.536392321428572
x1_x6_1,5.526945638888888
x3_maxmin_mean,5.517910333333334
x2_x1_0,5.5151569
time5,5.5010062173913035
x1_max,5.499328195439737
x1_x2_min,5.499120957081549
owingPerMax,5.483396107317074
x9_0,5.479579380952381
totalBackSubOwe,5.418787885714281
billContPerBank,5.391008165137616
x8_mean,5.378629413978498
withoutOweCount,5.305942096153844
bank_id_4,5.285047218181818
id_size.1,5.194203450000001
x4mx6e,5.156525078431373
cycleRateSum,5.146144093457945
creditDescCount,5.1370569999999995
x3_0,5.075184320987654
consumeSumCount,5.062817483050846
perOwingAfterLoaning,5.0421750609137055
x9_1,5.0268915172413795
x8_1,5.0177851111111105
consumePerCost,4.961224031468534
duplicate_num,4.924365933333331
creditDescRatio,4.917424919117645
bank_id_13,4.909545578947369
x1_x6_0,4.870287749999998
time2,4.81305
x4_x6_0,4.808685595505618
x9_mean,4.8082533750000005
bank_id_3,4.7675206923076905
bank_id_2,4.765643671232877
useableZeroCountRatio,4.669887238095238
drop_num_sum,4.655389680000001
time1,4.612668000000001
x7_max,4.526382473684211
x3_1,4.521767620689656
creditToZero,4.498315692307693
cycleRateCount,4.43040878125
equalLoan,4.379163347826088
x3_x4_0,4.142701307692307
useableZeroCount,4.120494809523808
x7_mean,4.0892092
bank_num,3.312040684210526
bank_id_15,3.1974030454545446
bank_id_9,3.0683641875
heaving,2.3986152307692308
withoutOwingBeforeLoan,2.2908139999999997
creditImproveFlag,2.1096276428571428
time0,1.934675
date_loan_0,1.495112375
x9_2,0.829062
