userid,probability
55597,0.7104508
55598,0.03475434
55599,0.199631
55600,0.4077674
55601,0.6141986
55602,0.3313882
55603,0.5549836
55604,0.10409106
55605,0.3785852
55606,0.14533988
55607,0.02560576
55608,0.0377362
55609,0.535164
55610,0.4330388
55611,0.34681
55612,0.05100406
55613,0.409739
55614,0.0495138
55615,0.2752726
55616,0.3144314
55617,0.04542494
55618,0.04899134
55619,0.1493608
55620,0.06934504
55621,0.06001402
55622,0.370989
55623,0.3119436
55624,0.04586074
55625,0.0870918
55626,0.1637072
55627,0.512662
55628,0.4011594
55629,0.0753382
55630,0.1610126
55631,0.0249739
55632,0.03002234
55633,0.05466092
55634,0.7511022
55635,0.03912008
55636,0.5024578
55637,0.09994926
55638,0.500227
55639,0.0250207
55640,0.02726734
55641,0.6603996
55642,0.07714806
55643,0.3115374
55644,0.5953778
55645,0.1316264
55646,0.0954752
55647,0.7766366
55648,0.0469095
55649,0.2459086
55650,0.6140746
55651,0.05892912
55652,0.5030922
55653,0.05810296
55654,0.785601
55655,0.2644334
55656,0.46568
55657,0.6040024
55658,0.06692762
55659,0.5784178
55660,0.3105118
55661,0.3097828
55662,0.5652982
55663,0.4833588
55664,0.09460218
55665,0.0309696
55666,0.11883096
55667,0.10104582
55668,0.03068726
55669,0.6729282
55670,0.4995226
55671,0.5053374
55672,0.05210108
55673,0.3692448
55674,0.3003934
55675,0.6914856
55676,0.2933182
55677,0.4917822
55678,0.08233454
55679,0.4587134
55680,0.02735876
55681,0.07542102
55682,0.3673288
55683,0.09830512
55684,0.03679308
55685,0.807612
55686,0.4650702
55687,0.4243456
55688,0.7070954
55689,0.07191082
55690,0.02618878
55691,0.06655004
55692,0.3398136
55693,0.6556032
55694,0.115474
55695,0.2989254
55696,0.08350688
55697,0.3217104
55698,0.1459122
55699,0.05307734
55700,0.7902372
55701,0.5306246
55702,0.09878978
55703,0.386326
55704,0.03905566
55705,0.08415658
55706,0.506835
55707,0.3296924
55708,0.05392
55709,0.654019
55710,0.5004658
55711,0.7178778
55712,0.0460124
55713,0.733713
55714,0.01713834
55715,0.01896804
55716,0.0445909
55717,0.07624718
